epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.951;0.9509999736150105;0.15139908650672684;0.951;0.951;0.93125;0.9312499618530273;0.33084882398630727;0.93125;0.93125
0;0.9464166666666667;0.9464166391690572;0.15800104225127143;0.9464166666666667;0.9464166666666667;0.6825;0.6824999403953552;3.536870975494385;0.6825;0.6825
1;0.9910811036092356;0.9910810971703243;0.02976954999801527;0.9910811036092356;0.9910811036092356;0.999375;0.9993749994039536;0.0019163371303238818;0.999375;0.999375
2;0.9959989997499374;0.9959989964112427;0.017103815400300534;0.9959989997499374;0.9959989997499374;0.517632241813602;0.5176321822089572;7.774849586582905;0.517632241813602;0.517632241813602
3;0.9957489372343086;0.9957489336571356;0.015480934462721037;0.9957489372343086;0.9957489372343086;0.70375;0.7037499409914016;1.54346034899354;0.70375;0.70375
4;0.997249312328082;0.9972493098638073;0.013256879794049136;0.997249312328082;0.997249312328082;1.0;1.0;0.00041889545914273183;1.0;1.0
5;0.9975827290155872;0.9975827268692834;0.008523789927020738;0.9975827290155872;0.9975827290155872;0.9987405541561712;0.9987405529550701;0.005864748519524249;0.9987405541561712;0.9987405541561712
6;1.0;1.0;8.000836800130632e-05;1.0;1.0;1.0;1.0;0.00014743807843956347;1.0;1.0
7;0.9958322914061849;0.9958322879085046;0.014640324863384735;0.9958322914061849;0.9958322914061849;0.9993702770780857;0.9993702764775351;0.005034211575602807;0.9993702770780857;0.9993702770780857
8;0.9982495623905977;0.9982495608802358;0.006435959165025718;0.9982495623905977;0.9982495623905977;1.0;1.0;0.0002650554777483194;1.0;1.0
9;0.9999166458281237;0.9999166457486309;0.00028430717233830956;0.9999166458281237;0.9999166458281237;0.99875;0.9987499988079072;0.007182519325656358;0.99875;0.99875
10;0.9976660831874635;0.997666080961667;0.007866806728246295;0.9976660831874635;0.9976660831874635;0.9987405541561712;0.9987405529550701;0.00617098755417236;0.9987405541561712;0.9987405541561712
11;0.9990831041093606;0.9990831032349407;0.003827182791228361;0.9990831041093606;0.9990831041093606;0.998125;0.9981249982118606;0.013253223221045687;0.998125;0.998125
12;0.9999166458281237;0.9999166457486309;0.00022584782935294883;0.9999166458281237;0.9999166458281237;0.9993702770780857;0.9993702764775351;0.0028138244471494983;0.9993702770780857;0.9993702770780857
13;1.0;1.0;9.736464956631608e-06;1.0;1.0;0.998125;0.9981249982118606;0.0030124921462584098;0.998125;0.998125
